NU_IDADE,NU_INSCRICAO,LB_APROVADO_CN,LB_APROVADO_CH,LB_APROVADO_LC,LB_APROVADO_MT,PC_APROVACAO_CN,PC_APROVACAO_CH,PC_APROVACAO_LC,PC_APROVACAO_MT
12,1,0,0,0,0,0.0,0.0,0.0,0.0
13,11,0,0,0,0,0.0,0.0,0.0,0.0
14,210,1,1,0,15,0.004761904761904762,0.004761904761904762,0.0,0.07142857142857142
15,2565,39,68,13,402,0.0152046783625731,0.026510721247563353,0.0050682261208577,0.1567251461988304
16,10910,288,525,76,1930,0.026397800183318058,0.04812098991750687,0.006966086159486709,0.1769019248395967
17,32542,1144,1821,292,4840,0.035154569479441955,0.0559584536906152,0.008973019482514904,0.1487308708745621
18,30226,1213,1686,279,4187,0.04013101303513531,0.05577979223185337,0.00923046383907894,0.13852312578574738
19,19154,797,1102,158,2416,0.04161010754933695,0.057533674428317846,0.008248929727472069,0.12613553304792732
20,14206,613,738,111,1646,0.04315078135998874,0.05194988033225398,0.007813599887371533,0.11586653526678868
21,9970,325,446,72,1067,0.03259779338014042,0.04473420260782347,0.007221664994984955,0.10702106318956871
22,7648,220,295,54,735,0.028765690376569036,0.03857217573221757,0.007060669456066946,0.09610355648535565
23,6038,165,248,36,576,0.0273269294468367,0.041073203047366676,0.0059622391520370984,0.09539582643259358
24,4798,98,195,42,434,0.02042517715714881,0.04064193413922468,0.008753647353063776,0.09045435598165902
25,3795,91,140,27,380,0.023978919631093543,0.03689064558629776,0.0071146245059288534,0.10013175230566534
26,3155,79,121,18,278,0.02503961965134707,0.03835182250396196,0.005705229793977813,0.08811410459587955
27,2578,62,112,19,270,0.02404965089216447,0.04344453064391001,0.007370054305663305,0.10473235065942592
28,2394,51,98,17,179,0.021303258145363407,0.04093567251461988,0.007101086048454469,0.07477025898078529
29,2111,45,110,16,172,0.021316911416390336,0.05210800568450971,0.007579346281383231,0.08147797252486973
30,1835,35,68,13,136,0.01907356948228883,0.037057220708446865,0.007084468664850136,0.07411444141689373
31,1632,30,78,13,128,0.01838235294117647,0.04779411764705882,0.007965686274509803,0.0784313725490196
32,1462,27,60,9,100,0.018467852257181942,0.04103967168262654,0.006155950752393981,0.06839945280437756
33,1341,19,68,16,99,0.014168530947054437,0.05070842654735272,0.011931394481730051,0.0738255033557047
34,1242,27,59,9,93,0.021739130434782608,0.04750402576489533,0.007246376811594203,0.0748792270531401
35,1223,21,52,4,74,0.017170891251022075,0.04251839738348324,0.003270645952575634,0.06050695012264922
36,1095,19,49,8,67,0.017351598173515982,0.04474885844748858,0.0073059360730593605,0.06118721461187215
37,940,10,33,5,53,0.010638297872340425,0.035106382978723406,0.005319148936170213,0.05638297872340425
38,891,18,48,7,60,0.020202020202020204,0.05387205387205387,0.007856341189674524,0.06734006734006734
39,765,6,16,1,35,0.00784313725490196,0.02091503267973856,0.00130718954248366,0.0457516339869281
40,682,9,31,4,26,0.013196480938416423,0.045454545454545456,0.005865102639296188,0.03812316715542522
41,653,6,22,3,37,0.009188361408882083,0.033690658499234305,0.004594180704441042,0.05666156202143951
42,563,8,22,4,32,0.014209591474245116,0.03907637655417407,0.007104795737122558,0.056838365896980464
43,523,8,21,2,30,0.015296367112810707,0.040152963671128104,0.0038240917782026767,0.05736137667304015
44,483,2,15,0,18,0.004140786749482402,0.031055900621118012,0.0,0.037267080745341616
45,418,4,15,1,17,0.009569377990430622,0.03588516746411483,0.0023923444976076554,0.04066985645933014
46,413,5,17,4,19,0.012106537530266344,0.04116222760290557,0.009685230024213076,0.04600484261501211
47,398,4,22,2,24,0.010050251256281407,0.05527638190954774,0.005025125628140704,0.06030150753768844
48,317,1,13,1,9,0.0031545741324921135,0.04100946372239748,0.0031545741324921135,0.028391167192429023
49,288,1,10,1,12,0.003472222222222222,0.034722222222222224,0.003472222222222222,0.041666666666666664
50,237,3,12,0,10,0.012658227848101266,0.05063291139240506,0.0,0.04219409282700422
51,242,3,14,1,13,0.012396694214876033,0.05785123966942149,0.004132231404958678,0.05371900826446281
52,210,1,6,3,7,0.004761904761904762,0.02857142857142857,0.014285714285714285,0.03333333333333333
53,162,2,10,1,12,0.012345679012345678,0.06172839506172839,0.006172839506172839,0.07407407407407407
54,154,2,10,2,7,0.012987012987012988,0.06493506493506493,0.012987012987012988,0.045454545454545456
55,132,2,5,1,8,0.015151515151515152,0.03787878787878788,0.007575757575757576,0.06060606060606061
56,104,0,2,0,4,0.0,0.019230769230769232,0.0,0.038461538461538464
57,98,2,4,0,6,0.02040816326530612,0.04081632653061224,0.0,0.061224489795918366
58,84,1,5,0,4,0.011904761904761904,0.05952380952380952,0.0,0.047619047619047616
59,72,0,4,0,6,0.0,0.05555555555555555,0.0,0.08333333333333333
60,56,1,3,0,3,0.017857142857142856,0.05357142857142857,0.0,0.05357142857142857
61,41,0,1,0,0,0.0,0.024390243902439025,0.0,0.0
62,34,0,0,0,0,0.0,0.0,0.0,0.0
63,36,0,1,0,1,0.0,0.027777777777777776,0.0,0.027777777777777776
64,26,0,2,0,1,0.0,0.07692307692307693,0.0,0.038461538461538464
65,20,0,1,0,1,0.0,0.05,0.0,0.05
66,19,0,2,0,1,0.0,0.10526315789473684,0.0,0.05263157894736842
67,9,0,0,0,0,0.0,0.0,0.0,0.0
68,5,0,0,0,0,0.0,0.0,0.0,0.0
69,8,0,0,0,0,0.0,0.0,0.0,0.0
70,7,0,1,0,0,0.0,0.14285714285714285,0.0,0.0
71,8,0,0,0,0,0.0,0.0,0.0,0.0
72,6,0,0,0,0,0.0,0.0,0.0,0.0
73,2,0,0,0,0,0.0,0.0,0.0,0.0
75,2,0,0,0,0,0.0,0.0,0.0,0.0
76,2,0,0,0,0,0.0,0.0,0.0,0.0
78,1,0,0,0,0,0.0,0.0,0.0,0.0
