CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,NU_COMPARECIMENTO_CN,PC_APROVACAO_CN,NU_COMPARECIMENTO_CH,PC_APROVACAO_CH,NU_COMPARECIMENTO_LC,PC_APROVACAO_LC,NU_COMPARECIMENTO_MT,PC_APROVACAO_MT
3503208,Araraquara,SP,4074,0.076,4289,0.093,4289,0.020,4074,0.215
5002902,Cassilândia,MS,374,0.013,399,0.033,399,0.005,374,0.091
3550308,São Paulo,SP,203964,0.058,218173,0.079,218173,0.016,203964,0.170
4209300,Lages,SC,2224,0.041,2338,0.048,2338,0.006,2224,0.145
2704302,Maceió,AL,32704,0.027,34712,0.042,34712,0.006,32704,0.107
4303103,Cachoeirinha,RS,2648,0.021,2860,0.033,2860,0.005,2648,0.117
4106902,Curitiba,PR,39241,0.093,41915,0.106,41915,0.018,39241,0.243
4214805,Rio do Sul,SC,791,0.049,843,0.064,843,0.006,791,0.207
4322509,Vacaria,RS,764,0.026,815,0.040,815,0.009,764,0.127
2607901,Jaboatão dos Guararapes,PE,19256,0.017,20309,0.029,20309,0.004,19256,0.093
4304606,Canoas,RS,6430,0.031,6890,0.048,6890,0.009,6430,0.166
2927408,Salvador,BA,70239,0.045,75002,0.060,75002,0.011,70239,0.120
5106257,Nova Xavantina,MT,376,0.005,408,0.005,408,0.000,376,0.043
2306553,Itarema,CE,700,0.004,724,0.017,724,0.001,700,0.069
2304400,Fortaleza,CE,82084,0.054,86517,0.076,86517,0.011,82084,0.169
2211001,Teresina,PI,41056,0.041,42775,0.060,42775,0.010,41056,0.128
3505708,Barueri,SP,5575,0.028,6004,0.052,6004,0.009,5575,0.137
3118601,Contagem,MG,17030,0.043,18114,0.068,18114,0.010,17030,0.168
3508603,Cachoeira Paulista,SP,472,0.059,497,0.064,497,0.018,472,0.186
5215231,Novo Gama,GO,1762,0.006,1909,0.007,1909,0.001,1762,0.035
2610608,Paudalho,PE,1684,0.004,1779,0.010,1779,0.001,1684,0.045
3513801,Diadema,SP,7797,0.017,8438,0.030,8438,0.005,7797,0.097
3143302,Montes Claros,MG,15593,0.047,16587,0.067,16587,0.009,15593,0.147
5221403,Trindade,GO,2667,0.017,2850,0.027,2850,0.002,2667,0.081
1600303,Macapá,AP,21062,0.011,22845,0.022,22845,0.003,21062,0.046
3546603,Santa Fé do Sul,SP,348,0.040,368,0.062,368,0.014,348,0.204
3550209,São Miguel Arcanjo,SP,649,0.022,692,0.051,692,0.003,649,0.122
4315602,Rio Grande,RS,7571,0.018,8017,0.034,8017,0.006,7571,0.126
5221304,Três Ranchos,GO,91,0.000,92,0.011,92,0.000,91,0.088
2600500,Águas Belas,PE,625,0.011,659,0.023,659,0.006,625,0.054
3554102,Taubaté,SP,4035,0.066,4261,0.090,4261,0.017,4035,0.228
2907509,Catu,BA,1430,0.015,1505,0.027,1505,0.004,1430,0.064
2918001,Jequié,BA,4341,0.023,4596,0.034,4596,0.004,4341,0.088
4119905,Ponta Grossa,PR,4305,0.071,4521,0.082,4521,0.011,4305,0.198
5003702,Dourados,MS,4666,0.044,5005,0.053,5005,0.010,4666,0.134
3205309,Vitória,ES,10591,0.113,11166,0.139,11166,0.024,10591,0.275
3136652,Juatuba,MG,587,0.010,631,0.029,631,0.002,587,0.114
2400109,Acari,RN,430,0.012,450,0.027,450,0.004,430,0.060
2101400,Balsas,MA,2409,0.012,2560,0.020,2560,0.001,2409,0.057
3501608,Americana,SP,3385,0.075,3539,0.094,3539,0.012,3385,0.249
3512803,Cosmópolis,SP,1139,0.027,1196,0.041,1196,0.007,1139,0.127
1301902,Itacoatiara,AM,2409,0.005,2568,0.007,2568,0.000,2409,0.028
2110278,Santo Amaro do Maranhão,MA,69,0.000,77,0.000,77,0.000,69,0.014
5002704,Campo Grande,MS,22261,0.042,24045,0.062,24045,0.009,22261,0.151
2111300,São Luís,MA,62200,0.018,65673,0.034,65673,0.004,62200,0.069
1302603,Manaus,AM,64739,0.014,72764,0.022,72764,0.003,64739,0.058
3205002,Serra,ES,13209,0.025,14113,0.042,14113,0.005,13209,0.126
2919207,Lauro de Freitas,BA,5764,0.036,6117,0.053,6117,0.008,5764,0.111
3170206,Uberlândia,MG,17071,0.065,17944,0.099,17944,0.016,17071,0.200
3106200,Belo Horizonte,MG,72577,0.087,76564,0.132,76564,0.027,72577,0.249
5300108,Brasília,DF,82664,0.054,87937,0.078,87937,0.016,82664,0.150
3205200,Vila Velha,ES,11718,0.076,12414,0.091,12414,0.014,11718,0.208
4313300,Nova Prata,RS,442,0.043,457,0.057,457,0.009,442,0.181
4317103,Sant'Ana do Livramento,RS,2021,0.014,2164,0.030,2164,0.003,2021,0.100
3510609,Carapicuíba,SP,7382,0.015,7988,0.028,7988,0.005,7382,0.072
3522109,Itanhaém,SP,1786,0.012,1913,0.017,1913,0.004,1786,0.081
3304557,Rio de Janeiro,RJ,116604,0.058,123768,0.098,123768,0.019,116604,0.218
2802908,Itabaiana,SE,2556,0.038,2638,0.060,2638,0.006,2556,0.109
2503704,Cajazeiras,PB,2425,0.025,2545,0.037,2545,0.001,2425,0.101
3131158,Ipaba,MG,288,0.014,297,0.024,297,0.003,288,0.090
3302858,Mesquita,RJ,2980,0.017,3171,0.032,3171,0.004,2980,0.104
3552205,Sorocaba,SP,12174,0.048,12954,0.066,12954,0.012,12174,0.175
2925303,Porto Seguro,BA,2446,0.015,2604,0.029,2604,0.005,2446,0.073
4201703,Ascurra,SC,41,0.024,47,0.021,47,0.000,41,0.073
2602902,Cabo de Santo Agostinho,PE,5217,0.006,5481,0.015,5481,0.001,5217,0.058
3549904,São José dos Campos,SP,13727,0.087,14390,0.114,14390,0.021,13727,0.268
3101607,Alfenas,MG,2730,0.050,2850,0.065,2850,0.007,2730,0.138
4109401,Guarapuava,PR,3814,0.028,4008,0.040,4008,0.004,3814,0.124
3548906,São Carlos,SP,6667,0.078,6943,0.101,6943,0.021,6667,0.243
4115804,Medianeira,PR,1062,0.024,1133,0.036,1133,0.004,1062,0.165
5221858,Valparaíso de Goiás,GO,3918,0.010,4200,0.017,4200,0.002,3918,0.055
2312403,São Gonçalo do Amarante,CE,1539,0.005,1621,0.009,1621,0.000,1539,0.079
1716109,Paraíso do Tocantins,TO,1505,0.010,1590,0.016,1590,0.001,1505,0.063
2806909,São Francisco,SE,108,0.009,110,0.009,110,0.000,108,0.019
3168606,Teófilo Otoni,MG,4116,0.030,4373,0.057,4373,0.008,4116,0.130
2611606,Recife,PE,51408,0.048,53993,0.071,53993,0.013,51408,0.175
4314100,Passo Fundo,RS,3120,0.061,3296,0.078,3296,0.011,3120,0.183
3543402,Ribeirão Preto,SP,11126,0.104,11711,0.111,11711,0.024,11126,0.241
3120706,Cruzeiro da Fortaleza,MG,98,0.010,106,0.028,106,0.000,98,0.163
2919553,Luís Eduardo Magalhães,BA,1868,0.014,2012,0.028,2012,0.004,1868,0.097
2901106,Amélia Rodrigues,BA,573,0.005,601,0.018,601,0.005,573,0.042
2307304,Juazeiro do Norte,CE,9656,0.038,10207,0.047,10207,0.004,9656,0.133
4104808,Cascavel,PR,5702,0.061,6068,0.074,6068,0.011,5702,0.174
4102406,Bandeirantes,PR,567,0.019,605,0.048,605,0.007,567,0.101
2707305,Porto Calvo,AL,498,0.004,524,0.004,524,0.002,498,0.040
