NU_INSCRICAO;NU_ANO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;CO_MUNICIPIO_NASCIMENTO;NO_MUNICIPIO_NASCIMENTO;CO_UF_NASCIMENTO;SG_UF_NASCIMENTO;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_SURDEZ;IN_DEFICIENCIA_AUDITIVA;IN_SURDO_CEGUEIRA;IN_DEFICIENCIA_FISICA;IN_DEFICIENCIA_MENTAL;IN_DEFICIT_ATENCAO;IN_DISLEXIA;IN_DISCALCULIA;IN_AUTISMO;IN_VISAO_MONOCULAR;IN_OUTRA_DEF;IN_GESTANTE;IN_LACTANTE;IN_IDOSO;IN_ESTUDA_CLASSE_HOSPITALAR;IN_SEM_RECURSO;IN_BRAILLE;IN_AMPLIADA_24;IN_AMPLIADA_18;IN_LEDOR;IN_ACESSO;IN_TRANSCRICAO;IN_LIBRAS;IN_LEITURA_LABIAL;IN_MESA_CADEIRA_RODAS;IN_MESA_CADEIRA_SEPARADA;IN_APOIO_PERNA;IN_GUIA_INTERPRETE;IN_COMPUTADOR;IN_CADEIRA_ESPECIAL;IN_CADEIRA_CANHOTO;IN_CADEIRA_ACOLCHOADA;IN_PROVA_DEITADO;IN_MOBILIARIO_OBESO;IN_LAMINA_OVERLAY;IN_PROTETOR_AURICULAR;IN_MEDIDOR_GLICOSE;IN_MAQUINA_BRAILE;IN_SOROBAN;IN_MARCA_PASSO;IN_SONDA;IN_MEDICAMENTOS;IN_SALA_INDIVIDUAL;IN_SALA_ESPECIAL;IN_SALA_ACOMPANHANTE;IN_MOBILIARIO_ESPECIFICO;IN_MATERIAL_ESPECIFICO;IN_NOME_SOCIAL;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
180008202043;2018;5300108;Brasília;53;DF;44;M;1;1;0;;;;;2;0;2;1;0;52033333;5208707;Goiânia;52;GO;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5210208;Iporá;52;GO;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;A;A;A;A;1;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A
180007197856;2018;2111102;São João dos Patos;21;MA;23;F;0;3;1;2111102;São João dos Patos;21;MA;1;5;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2111102;São João dos Patos;21;MA;1;1;1;1;449;451;455;462;521;568.7;513.1;480.3;ECEABBBDACBBBADEEDCBBCBCEBAACABEABECCEADEADCE;AAEECCAEEBBEDEEEBEABEECAACECBCCCECAABAEBEDAED;ECCEC99999CECEDCECAAABDDBADEEDBBAAEACCBCEBDECECDBB;CACBEEDBDDAEAEDDABAAEEAEAEEABAEDAAAACEAABADAA;0;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE;BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;120;40;40;60;20;280;B;B;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;A;A
180008517434;2018;3530607;Mogi das Cruzes;35;SP;23;F;0;1;1;4209300;Lages;42;SC;1;3;1;3;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4314902;Porto Alegre;43;RS;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;E;C;B;4;C;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;B;B;B;B;A;A
180007661228;2018;2916401;Itapetinga;29;BA;26;F;0;3;2;;;;;1;8;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2916401;Itapetinga;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;C;B;4;B;A;B;C;A;A;B;A;A;A;B;A;A;B;B;A;C;A;B;B;A;A
180008787987;2018;2918100;Jeremoabo;29;BA;20;M;0;0;1;2800308;Aracaju;28;SE;2;0;2;1;0;29112699;2918100;Jeremoabo;29;BA;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2918100;Jeremoabo;29;BA;0;1;1;0;;454;457;;;419.9;345.8;;;DCDEADADAECABECEBACBACCAABCBBEDDEBECCCCAACEDA;99999CAEDCABDADAADDCBADDEADCABEBA*ABEEDCABBEAECA*B;;1;;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;;1;140;40;40;120;20;360;C;E;A;D;3;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;B;A;B;B;B;A
180007239581;2018;2507507;João Pessoa;25;PB;23;F;0;1;1;2507507;João Pessoa;25;PB;1;5;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2507507;João Pessoa;25;PB;1;1;1;1;449;454;457;462;461.8;564;466.8;538.8;EEBCABEBAEBAAADEDDEBCADEDBABCDDADBEEACAAAADEE;BBEADEBECAECADDAAECDBDABEAEDBEEEACACBCBAAADCE;99999BAAEEBAEEBEBAABEAAADBBBDDBEBCAAECECAEBBBABAEE;BEABADAACCEABDCDACACADAACBBAEEBDECCDAEABBBDDE;1;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;120;120;120;120;100;580;C;D;C;B;1;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B;A;A
180007198225;2018;3171709;Virgínia;31;MG;35;F;0;1;1;3133105;Itanhandu;31;MG;1;12;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3163706;São Lourenço;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;C;C;2;E;A;B;C;A;A;B;A;A;A;B;A;A;C;A;A;B;A;B;B;A;A
180008090447;2018;2207702;Parnaíba;22;PI;39;M;1;3;1;2205706;Luís Correia;22;PI;1;12;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2207702;Parnaíba;22;PI;1;1;1;1;448;453;458;460;499.3;663.2;605.2;733.8;ACBCEEDDDABABCECCBADABECBADDECBBEABBDDEADAADA;ECBBDBBEDAECBDDEEEADEEBEADCAEBEEBEECAABAEDBEE;ECEEB99999EBDBDDBEABCBADBEACECBDDBBBBDABBAEDCCABAA;ADAEBABBECADAEADBDEEBDDBC.CDACCDDECDDEBEDDDCE;0;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE;BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;160;120;160;160;80;680;A;E;A;D;4;H;A;B;C;A;A;B;A;A;A;A;A;A;C;B;A;B;A;B;B;A;A
180008257068;2018;2304400;Fortaleza;23;CE;19;M;0;3;1;2304400;Fortaleza;23;CE;2;0;2;1;0;23077140;2304400;Fortaleza;23;CE;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2304400;Fortaleza;23;CE;1;1;1;1;449;452;456;462;411.8;429.8;445.2;459;CEABDBDABDEBBDDECCBDECADEDBABDBBDEAABECCDEADB;ADBCEABDB.AECBCADBEAACEACBDACDBCAEBADABC.EACB;EBDAE99999BDBDAACECEAECBEADACADEBCEBCECDBDACDBADEB;DEDBDACEABDBCEACAACEBDAECAECBAAEBDAECBBBEDAED;0;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;120;40;40;100;40;340;D;D;C;B;7;C;A;B;C;A;A;B;A;B;A;A;A;A;B;B;A;B;A;A;A;B;A
180008202044;2018;5103403;Cuiabá;51;MT;25;F;0;3;1;2903201;Barreiras;29;BA;1;9;1;1;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5103403;Cuiabá;51;MT;1;1;1;1;449;454;457;462;469.4;650.2;606.6;525.4;AEEEBBBBEBDDBADABAEDBABDEBAADEAACAACAACDEABDA;AEECAABAECEDBEDDAECDEEEAEEEBDAAEDCECEDBEACBCD;99999ABDCBACADEABEBEEEAEABBADBCDBCBEDCBBEDBBEBCACD;BEABBCCBBDECDCCBACAAEBEADAEDBEEDDDBADADADDEBD;1;EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA;1;140;180;160;160;100;740;C;C;C;B;1;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;A;A
